Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-26,12.494,12.658,12.434,12.574,7132000,0.0,0.0
2018-06-27,12.646,12.718,12.344,12.36,7116500,0.0,0.0
2018-06-28,12.312,12.528,12.216,12.49,4818500,0.0,0.0
2018-06-29,12.564,12.688,12.468,12.486,9346500,0.0,0.0
2018-07-02,12.434,12.794,12.38,12.786,4696000,0.0,0.0
2018-07-03,12.824,12.856,12.674,12.718,2998500,0.0,0.0
2018-07-05,12.824,12.88,12.66,12.866,8854500,0.0,0.0
2018-07-06,12.872,13.024,12.816,12.994,3594000,0.0,0.0
2018-07-09,13.058,13.194,12.882,12.954,5410500,0.0,0.0
2018-07-10,13.022,13.168,13.002,13.082,5001000,0.0,0.0
2018-07-11,13.006,13.166,12.958,13.132,3700000,0.0,0.0
2018-07-12,13.19,13.49,13.16,13.446,3989500,0.0,0.0
2018-07-13,13.416,13.46,13.246,13.312,4880500,0.0,0.0
2018-07-16,13.37,13.404,13.222,13.246,2719500,0.0,0.0
2018-07-17,13.2,13.444,13.002,13.388,6018000,0.0,0.0
2018-07-18,13.412,13.44,13.298,13.362,7046000,0.0,0.0
2018-07-19,13.406,13.61,13.368,13.49,8022000,0.0,0.0
2018-07-20,13.272,13.67,13.272,13.596,5075500,0.0,0.0
2018-07-23,13.582,13.662,13.38,13.644,5828500,0.0,0.0
2018-07-24,13.734,13.758,13.23,13.35,7223500,0.0,0.0
2018-07-25,13.378,13.734,13.378,13.686,5712000,0.0,0.0
2018-07-26,13.622,13.766,13.474,13.714,6090500,0.0,0.0
2018-07-27,13.674,13.71,13.006,13.162,6343000,0.0,0.0
2018-07-30,13.116,13.148,12.454,12.556,11980000,0.0,0.0
2018-07-31,12.62,12.748,12.474,12.582,9736000,0.0,0.0
2018-08-01,12.646,12.974,12.618,12.92,14783000,0.0,0.0
2018-08-02,14.1,14.774,14.0,14.752,20620000,0.0,0.0
2018-08-03,14.798,15.128,14.618,14.726,13137000,0.0,0.0
2018-08-06,14.698,14.852,14.564,14.726,7280500,0.0,0.0
2018-08-07,14.72,14.884,14.596,14.612,4659000,0.0,0.0
2018-08-08,14.606,14.668,14.43,14.61,6597500,0.0,0.0
2018-08-09,14.67,15.028,14.628,14.91,8613000,0.0,0.0
2018-08-10,14.802,15.156,14.77,15.058,6264500,0.0,0.0
2018-08-13,15.0,15.114,14.848,14.956,9093500,0.0,0.0
2018-08-14,15.058,15.292,14.84,15.27,4561000,0.0,0.0
2018-08-15,15.254,15.39,15.038,15.244,7611000,0.0,0.0
2018-08-16,15.3,15.478,15.274,15.318,5723500,0.0,0.0
2018-08-17,15.3,15.338,15.08,15.3,4740500,0.0,0.0
2018-08-20,15.38,15.474,15.208,15.336,6261000,0.0,0.0
2018-08-21,15.454,15.5,15.254,15.322,6180500,0.0,0.0
2018-08-22,15.298,15.602,15.298,15.544,4141000,0.0,0.0
2018-08-23,15.5,15.818,15.5,15.75,5853000,0.0,0.0
2018-08-24,15.792,16.14,15.79,16.078,4449500,0.0,0.0
2018-08-27,16.106,16.24,15.952,16.062,4756500,0.0,0.0
2018-08-28,16.128,16.226,16.016,16.184,4584000,0.0,0.0
2018-08-29,16.316,16.612,16.27,16.502,6126500,0.0,0.0
2018-08-30,16.49,16.726,16.42,16.61,5623000,0.0,0.0
2018-08-31,16.574,16.824,16.574,16.752,8661000,0.0,0.0
2018-09-04,17.02,17.232,16.762,17.216,9832500,0.0,0.0
2018-09-05,17.256,17.312,16.312,16.704,10462000,0.0,0.0
2018-09-06,16.758,17.154,16.704,17.0,8817500,0.0,0.0
2018-09-07,16.888,17.358,16.752,17.104,5359500,0.0,0.0
2018-09-10,17.226,17.598,17.116,17.57,7772000,0.0,0.0
2018-09-11,17.502,17.768,17.4,17.446,10715500,0.0,0.0
2018-09-12,17.468,17.794,17.27,17.746,8232500,0.0,0.0
2018-09-13,17.846,18.1,17.696,17.986,8775000,0.0,0.0
2018-09-14,18.002,18.254,18.002,18.07,7647500,0.0,0.0
2018-09-17,18.062,18.146,17.524,17.634,7094500,0.0,0.0
2018-09-18,17.318,17.888,17.056,17.686,9148000,0.0,0.0
2018-09-19,17.73,17.788,16.914,17.166,13020000,0.0,0.0
2018-09-20,16.8,17.288,16.554,17.142,13577500,0.0,0.0
2018-09-21,17.18,17.432,17.042,17.096,16007000,0.0,0.0
2018-09-24,17.096,17.542,16.832,17.45,10490000,0.0,0.0
2018-09-25,17.65,17.972,17.6,17.902,11664500,0.0,0.0
2018-09-26,18.0,18.096,17.746,17.91,9362500,0.0,0.0
2018-09-27,18.014,18.45,18.014,18.352,11569500,0.0,0.0
2018-09-28,18.24,18.476,17.954,18.454,11345000,0.0,0.0
2018-10-01,18.6,18.874,18.36,18.458,9299000,0.0,0.0
2018-10-02,18.47,18.494,18.016,18.236,10354500,0.0,0.0
2018-10-03,18.308,18.53,18.202,18.3,8188500,0.0,0.0
2018-10-04,18.29,18.34,17.7,17.858,8666000,0.0,0.0
2018-10-05,17.538,17.626,16.918,17.22,19749000,0.0,0.0
2018-10-08,17.24,17.384,16.366,16.74,18986500,0.0,0.0
2018-10-09,16.61,16.918,16.402,16.512,15981000,0.0,0.0
2018-10-10,16.622,16.686,15.68,15.914,166853000,0.0,0.0
